feature,mean,sample_standard_deviation
e,3.4812728997073954,0.56217273883795926
di,2.9373838304957403,0.34992937225411008
che,2.5256052690258959,0.28677037988072362
il,1.9499688100490695,0.20958761639474247
a,1.8321627909656035,0.41275227950167359
la,1.8923892918745182,0.2198291702941047
un,1.6908286056122648,0.38322749537377671
non,1.4941644323836769,0.31057706974265703
in,1.1844712216752684,0.22472486138826928
per,1.104011449124054,0.24607799673475433
una,0.89067968867563085,0.19536764873658038
si,0.91258981888468638,0.1056440827014906
con,0.7799601893613346,0.19090892272603266
le,0.85815907807929015,0.2110137285519062
l,0.7398592713138803,0.14108488138161931
d,0.56152001492478976,0.25870456235496919
ma,0.681541224744032,0.098540648276191745
era,0.61843151806552454,0.10568409051866602
come,0.6279825781679057,0.12301353728424597
da,0.58221798773077971,0.11107458952004254
più,0.55167998971428955,0.12301482324325552
è,0.59720929997946903,0.1106040449615342
del,0.56010614234735778,0.085988461345964731
gli,0.58408304873280414,0.19845803281587743
i,0.57696176069711014,0.09188594704646838
mi,0.5837070202863176,0.62171938086686773
della,0.45633146187117291,0.13781761332023965
se,0.45945785359434926,0.071551149161546007
al,0.39945486395017843,0.039433863891576319
lo,0.43915016283647218,0.069807232895558305
io,0.38545890833437729,0.17411442035356436
alla,0.32568165386551157,0.050407800042825371
quel,0.26741909066482489,0.1127620739529781
aveva,0.30389546331454947,0.065547169723902884
s,0.24436079979336622,0.12857550031236251
suo,0.26380476542059134,0.071937210839351548
anche,0.25146140757519303,0.074080084030622759
quella,0.23948187184038972,0.11961456705328942
così,0.27034517370604311,0.079215156127248582
disse,0.27349088687291062,0.18678853720135835
sua,0.24739613415827244,0.081616686512356582
poi,0.24158509362158279,0.052080883423662072
due,0.24992323131183122,0.063934719990661137
o,0.22685534106667993,0.057891961731411201
nel,0.2236478894364865,0.039200281657377052
perchè,0.27510764094374895,0.11020355574027098
ne,0.21059188542950169,0.059238483268818337
quando,0.21031190770318309,0.052869201939169663
cosa,0.18293708856577837,0.061937094901345767
tutti,0.20313530443114136,0.093093278846208036
me,0.2333960139700488,0.17850119913402274
altro,0.18244059737419052,0.040169125081884041
tutto,0.19719937395957321,0.048419412141026449
questo,0.18706098942820837,0.050378183097658798
ci,0.16893041671270362,0.05388429646840142
lui,0.16915506724075111,0.089402387537303521
ora,0.20251836312233881,0.070069335491685744
loro,0.17432507931820121,0.060558055344366285
delle,0.16954499187315386,0.073578517700125176
all,0.16224401592321713,0.050172824162215746
chi,0.15340986836399864,0.073337386445384081
uno,0.15472319371027912,0.046729305903779425
lei,0.19953764861862189,0.18139386652085496
egli,0.2096991419194498,0.22995728546668934
ha,0.16023285245606197,0.041411804277580774
dell,0.15254119970793609,0.041153565864785559
ogni,0.13541202947216976,0.065012283465401374
qualche,0.13959979994043528,0.048417329175556488
senza,0.14539971789284484,0.034795642396162049
nella,0.16501301458583675,0.051782497264352904
sul,0.17436791797794385,0.055978290724956081
ho,0.166163495632146,0.086438420811048591
dei,0.1841279678083938,0.13729177539131485
cui,0.13902646441696759,0.077661531993526878
dopo,0.16175091518186244,0.028228264148352767
mio,0.19020663780031588,0.16361956062764191
tanto,0.15278799490772127,0.045615322403869375
occhi,0.17889439684617872,0.069819417507470782
c,0.12719290348600781,0.045534734968108004
questa,0.13399832424978667,0.041641662209869895
casa,0.15637778212906098,0.059773162017529878
fatto,0.12935153691708468,0.050411534753368639
sempre,0.14927932392827112,0.045927459395482942
dal,0.14513349706728165,0.044724822746953587
prima,0.14180600701433943,0.043277910758688989
dalla,0.15163499152756896,0.046711100661457422
fosse,0.11361946236967058,0.045966316095817916
mia,0.17138155135219957,0.15496545324353025
quale,0.11372827926416935,0.046368410173469266
col,0.14244781409749896,0.025888033043183788
ch,0.10929288144516332,0.085692078578279485
vi,0.13502012462698168,0.042865852632372664
bene,0.12393787569348476,0.034142911412059128
mai,0.13444609404879229,0.037639317867150732
altra,0.11069644072820368,0.03864622401293006
dove,0.11091319297397734,0.031335554917539157
sulla,0.11187825241519785,0.08204155826867382
tempo,0.097879541416572749,0.036672155001933951
altri,0.10428195104062675,0.032756414240367668
ancora,0.13360019688913879,0.067828974854611646
