rank,token,token_utf8_bytes,aggregate_count,sample_standard_deviation,finite_sample_standard_deviation,positive_sample_standard_deviation
1,e,1,19024,0.56217273883795926,true,true
2,di,2,15801,0.34992937225410992,true,true
3,che,3,14317,0.28677037988072362,true,true
4,il,2,10010,0.20958761639474241,true,true
5,a,1,9920,0.41275227950167359,true,true
6,la,2,9589,0.21982917029410459,true,true
7,un,2,9515,0.38322749537377665,true,true
8,non,3,7915,0.31057706974265709,true,true
9,in,2,7028,0.2247248613882693,true,true
10,per,3,6036,0.24607799673475436,true,true
11,una,3,5005,0.19536764873658041,true,true
12,si,2,4830,0.10564408270149066,true,true
13,con,3,4478,0.19090892272603266,true,true
14,le,2,4411,0.21101372855190614,true,true
15,l,1,4309,0.14108488138161937,true,true
16,d,1,3574,0.25870456235496914,true,true
17,ma,2,3500,0.098540648276191731,true,true
18,era,3,3425,0.10568409051866602,true,true
19,come,4,3352,0.12301353728424592,true,true
20,da,2,3328,0.11107458952004257,true,true
21,più,4,3254,0.12301482324325552,true,true
22,è,2,3121,0.11060404496153421,true,true
23,del,3,3103,0.085988461345964745,true,true
24,gli,3,2974,0.19845803281587743,true,true
25,i,1,2973,0.091885947046468366,true,true
26,mi,2,2600,0.62171938086686784,true,true
27,della,5,2511,0.13781761332023965,true,true
28,se,2,2499,0.071551149161546007,true,true
29,al,2,2188,0.039433863891576319,true,true
30,lo,2,2176,0.069807232895558333,true,true
31,io,2,1759,0.17411442035356436,true,true
32,alla,4,1704,0.050407800042825364,true,true
33,quel,4,1689,0.11276207395297812,true,true
34,aveva,5,1635,0.065547169723902884,true,true
35,s,1,1528,0.12857550031236248,true,true
36,suo,3,1470,0.071937210839351548,true,true
37,anche,5,1455,0.074080084030622759,true,true
38,quella,6,1453,0.11961456705328942,true,true
39,così,5,1410,0.079215156127248582,true,true
40,disse,5,1373,0.18678853720135835,true,true
41,sua,3,1356,0.081616686512356582,true,true
42,poi,3,1306,0.052080883423662093,true,true
43,due,3,1299,0.063934719990661137,true,true
44,o,1,1293,0.057891961731411208,true,true
45,nel,3,1202,0.039200281657377052,true,true
46,perchè,7,1200,0.11020355574027098,true,true
47,ne,2,1164,0.059238483268818337,true,true
48,quando,6,1119,0.052869201939169684,true,true
49,cosa,4,1080,0.061937094901345774,true,true
50,tutti,5,1072,0.093093278846208036,true,true
51,me,2,1069,0.17850119913402274,true,true
52,altro,5,1060,0.040169125081884041,true,true
53,tutto,5,1052,0.048419412141026463,true,true
54,questo,6,1051,0.050378183097658791,true,true
55,ci,2,1015,0.05388429646840142,true,true
56,lui,3,1010,0.089402387537303535,true,true
57,ora,3,993,0.070069335491685758,true,true
58,loro,4,975,0.060558055344366278,true,true
59,delle,5,964,0.073578517700125176,true,true
60,all,3,957,0.050172824162215746,true,true
61,chi,3,943,0.073337386445384095,true,true
62,uno,3,930,0.046729305903779425,true,true
63,lei,3,909,0.18139386652085496,true,true
64,egli,4,882,0.22995728546668934,true,true
65,ha,2,881,0.041411804277580781,true,true
66,dell,4,880,0.041153565864785566,true,true
67,ogni,4,877,0.06501228346540136,true,true
68,qualche,7,862,0.048417329175556474,true,true
69,senza,5,859,0.034795642396162035,true,true
70,nella,5,848,0.051782497264352904,true,true
71,sul,3,841,0.055978290724956081,true,true
72,ho,2,839,0.086438420811048591,true,true
73,dei,3,826,0.13729177539131487,true,true
74,cui,3,818,0.077661531993526878,true,true
75,dopo,4,807,0.028228264148352777,true,true
76,mio,3,803,0.16361956062764191,true,true
77,tanto,5,791,0.045615322403869375,true,true
78,occhi,5,785,0.069819417507470782,true,true
79,c,1,773,0.045534734968107997,true,true
80,questa,6,758,0.041641662209869902,true,true
81,casa,4,751,0.059773162017529885,true,true
82,fatto,5,747,0.050411534753368646,true,true
83,sempre,6,742,0.045927459395482949,true,true
84,dal,3,740,0.044724822746953587,true,true
85,prima,5,740,0.043277910758688982,true,true
86,dalla,5,738,0.046711100661457436,true,true
87,fosse,5,728,0.04596631609581793,true,true
88,mia,3,726,0.15496545324353025,true,true
89,quale,5,709,0.046368410173469279,true,true
90,col,3,706,0.025888033043183788,true,true
91,ch,2,699,0.085692078578279485,true,true
92,vi,2,699,0.042865852632372671,true,true
93,bene,4,690,0.034142911412059135,true,true
94,mai,3,660,0.037639317867150732,true,true
95,altra,5,646,0.03864622401293006,true,true
96,dove,4,646,0.03133555491753915,true,true
97,sulla,5,645,0.082041558268673806,true,true
98,tempo,5,643,0.036672155001933951,true,true
99,altri,5,638,0.032756414240367661,true,true
100,ancora,6,638,0.067828974854611659,true,true
101,sono,4,638,0.072092405620374472,true,true
102,fu,2,632,0.039083568983546577,true,true
103,via,3,632,0.061227086398122868,true,true
104,già,4,627,0.041445480264297986,true,true
105,de,2,626,0.097414624470752942,true,true
106,tu,2,616,0.13300983764824301,true,true
107,far,3,613,0.048906684362380506,true,true
108,subito,6,608,0.065977064445424255,true,true
109,voce,4,607,0.081687569345670702,true,true
110,gran,4,606,0.053532785290786949,true,true
111,ed,2,603,0.13915919764628323,true,true
112,mano,4,600,0.019163602743395691,true,true
113,parte,5,592,0.049987192304147401,true,true
114,giorno,6,590,0.018297240343116181,true,true
115,renzo,5,585,0.10737821186581833,true,true
116,quello,6,577,0.037258523882252988,true,true
117,qui,3,577,0.055491825322192358,true,true
118,allora,6,574,0.073717451050823848,true,true
119,voi,3,565,0.073721325433912105,true,true
120,uomo,4,557,0.038676994930587662,true,true
121,fare,4,555,0.052101711831517468,true,true
122,viso,4,554,0.078145928620332747,true,true
123,poco,4,550,0.023081970206784676,true,true
124,dire,4,544,0.03306675923582221,true,true
125,su,2,542,0.091737213672237444,true,true
126,tra,3,539,0.084222782459843812,true,true
127,po,2,536,0.03163104055809083,true,true
128,ad,2,535,0.066898025668083366,true,true
129,no,2,531,0.064667839880518149,true,true
130,volta,5,529,0.020382049325694929,true,true
131,alle,4,521,0.032493606054101377,true,true
132,ah,2,519,0.12204866260808443,true,true
133,nè,3,509,0.042652332476587722,true,true
134,suoi,4,505,0.019427561304161043,true,true
135,stato,5,502,0.015766152695318742,true,true
136,sì,3,491,0.097113272215198818,true,true
137,momento,7,487,0.036256001250579435,true,true
138,quelle,6,481,0.042628943334519741,true,true
139,signore,7,480,0.045062451113976262,true,true
140,ella,4,478,0.16731355577018209,true,true
141,fece,4,475,0.037246515434699506,true,true
142,quell,5,474,0.03594945747477489,true,true
143,quasi,5,466,0.028864182364428517,true,true
144,son,3,464,0.040018659435501001,true,true
145,ai,2,463,0.028241415683781426,true,true
146,là,3,458,0.045982007089678707,true,true
147,don,3,455,0.08130106937869494,true,true
148,fra,3,453,0.06767310811299973,true,true
149,nell,4,443,0.019473824380043556,true,true
150,cose,4,439,0.040220922427632873,true,true
151,mezzo,5,438,0.037686960269331694,true,true
152,capo,4,437,0.044757920331472086,true,true
153,parole,6,436,0.027677777700110803,true,true
154,lì,3,434,0.07342221967061266,true,true
155,noi,3,429,0.022395542808343806,true,true
156,strada,6,428,0.060726443568757116,true,true
157,sè,3,423,0.028803695574741318,true,true
158,rispose,7,422,0.036847267804108734,true,true
159,tutte,5,422,0.036993434647464206,true,true
160,mani,4,420,0.019115286909881488,true,true
161,erano,5,418,0.017901533239364203,true,true
162,forse,5,416,0.046097529954508026,true,true
163,pinocchio,9,416,0.41739895997091769,true,true
164,solo,4,409,0.045121910141066222,true,true
165,sarebbe,7,403,0.023761788126473369,true,true
166,ciò,4,401,0.057720453530474246,true,true
167,vita,4,401,0.027891304424596006,true,true
168,avrebbe,7,400,0.022060695054940061,true,true
169,cuore,5,399,0.058467927908671904,true,true
170,gente,5,399,0.029028151399739365,true,true
171,n,1,398,0.036878776052908353,true,true
172,essere,6,397,0.031455200454195573,true,true
173,lucia,5,397,0.072870342069623728,true,true
174,sotto,5,397,0.024776578037316446,true,true
175,tutta,5,397,0.027019386369107248,true,true
176,aver,4,396,0.017903593278417396,true,true
177,detto,5,396,0.025237688281791161,true,true
178,dio,3,394,0.047026213549437069,true,true
179,donna,5,394,0.078982116450342157,true,true
180,verso,5,392,0.032590997312387668,true,true
181,pareva,6,390,0.026427306634971299,true,true
182,tranvai,7,390,0.13827867613981568,true,true
183,aria,4,389,0.028962718538625164,true,true
184,m,1,382,0.040710235223492007,true,true
185,padre,5,382,0.041818904628831005,true,true
186,quanto,6,379,0.0239471124578329,true,true
187,ti,2,379,0.098211820952133461,true,true
188,fuori,5,374,0.045846463263276974,true,true
