candidate_id,query_sequence,source_url,recorded_title,recorded_author,recorded_language,translator_or_contributor,decision,reason,checked_on
"PG-45334","01","https://www.gutenberg.org/ebooks/45334","I promessi sposi. Opere di Alessando Manzoni, vol. 1","Manzoni, Alessandro","Italian","none recorded as translator","included","Original Italian prose; one-author rule; full UTF-8 text; official public-domain-in-USA record.","2026-07-20"
"PG-52484","02","https://www.gutenberg.org/ebooks/52484","Le avventure di Pinocchio: Storia di un burattino","Collodi, Carlo","Italian","Carlo Chiostri (illustrator; not translator)","included","Original Italian prose; one-author rule; full UTF-8 text; official public-domain-in-USA record.","2026-07-20"
"PG-62400","03","https://www.gutenberg.org/ebooks/62400","La Carrozza di tutti","De Amicis, Edmondo","Italian","none recorded as translator","included","Original Italian prose; one-author rule; full UTF-8 text; official public-domain-in-USA record.","2026-07-20"
"PG-43226","04","https://www.gutenberg.org/ebooks/43226","Dopo il divorzio","Deledda, Grazia","Italian","none recorded as translator","included","Original Italian prose; one-author rule; full UTF-8 text; official public-domain-in-USA record.","2026-07-20"
"PG-22504","05","https://www.gutenberg.org/ebooks/22504","Il mistero del poeta","Fogazzaro, Antonio","Italian","none recorded as translator","included","Original Italian prose; one-author rule; full UTF-8 text; official public-domain-in-USA record.","2026-07-20"
"PG-56775","06","https://www.gutenberg.org/ebooks/56775","Un cavallo nella luna: Novelle","Pirandello, Luigi","Italian","none recorded as translator","included","Original Italian single-author prose volume; one-author rule; full UTF-8 text; official public-domain-in-USA record.","2026-07-20"
"PG-54684","07","https://www.gutenberg.org/ebooks/54684","The House by the Medlar-Tree","Verga, Giovanni","English","Mary A. Craig (translator)","excluded","English translation of I Malavoglia; not original Italian.","2026-07-20"
"PG-28658","08","https://www.gutenberg.org/ebooks/28658","Καλαμιές στον άνεμο","Deledda, Grazia","Greek","translation record","excluded","Greek translation; not original Italian.","2026-07-20"
"PG-33778","09","https://www.gutenberg.org/ebooks/33778","The Patriot (Piccolo Mondo Antico)","Fogazzaro, Antonio","English","translation record","excluded","English translation; not original Italian.","2026-07-20"
"PG-28961","10","https://www.gutenberg.org/ebooks/28961","Heart: A Schoolboy's Journal","De Amicis, Edmondo","English","translation record","excluded","English translation of Cuore; not original Italian.","2026-07-20"
"PG-53878","11","https://www.gutenberg.org/ebooks/53878","Sydän: Kirja nuorisolle","De Amicis, Edmondo","Finnish","Maikki Friberg (translator)","excluded","Finnish translation of Cuore; not original Italian.","2026-07-20"
"PG-73486","12","https://www.gutenberg.org/ebooks/73486","Corazón: (diario de un niño)","De Amicis, Edmondo","Spanish","translation record","excluded","Spanish translation of Cuore; not original Italian.","2026-07-20"
"PG-19517","13","https://www.gutenberg.org/ebooks/19517","Le avventure di Pinocchio","Collodi, Carlo","Italian","audio-book index","excluded","The accessible plain-text item is an audio-book index and is too short to be a full literary document.","2026-07-20"
"PG-53077","14","https://www.gutenberg.org/ebooks/53077","Pinocchion seikkailut: Kertomus marioneteista","Collodi, Carlo","Finnish","translation record","excluded","Finnish translation; not original Italian.","2026-07-20"
"PG-61885","15","https://www.gutenberg.org/ebooks/61885","Ricordi d'infanzia e di scuola","De Amicis, Edmondo","Italian","none recorded as translator","excluded","Eligible Italian prose, but De Amicis was already represented by the earlier accepted candidate under the one-author rule.","2026-07-20"
